iter	Accuracy	MultiClass
855	0.7976621062	0.5639238572
856	0.7979766211	0.5637807467
857	0.7979766211	0.5635760831
858	0.7980290402	0.5634276046
859	0.7979766211	0.5632831779
860	0.7978193636	0.5630465673
861	0.7977669445	0.5629605492
862	0.7983435551	0.5628319892
863	0.7985532316	0.562667366
864	0.7984483934	0.5624498146
865	0.7985008125	0.5623308333
866	0.7986580699	0.5621730725
867	0.7992870996	0.562037338
868	0.7992346805	0.561891036
869	0.7992346805	0.5618379104
870	0.7992870996	0.5617696441
871	0.7992870996	0.5616873139
872	0.7993919379	0.5615508435
873	0.7993395188	0.5614450212
874	0.7996540337	0.5613572052
875	0.7993919379	0.5611937754
876	0.7997064528	0.5609736078
